Entry benchmark.
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 128, d_k: 16, result: 0.10030102778975761
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 128, d_k: 32, result: 0.09941584613427124
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 128, d_k: 64, result: 0.09979477807289533
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 128, d_k: 128, result: 0.09855081759171726
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 256, d_k: 16, result: 0.09934333763276344
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 256, d_k: 32, result: 0.09818253563183212
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 256, d_k: 64, result: 0.0989690178187886
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 256, d_k: 128, result: 0.09978514307188845
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 512, d_k: 16, result: 0.09769243513005312
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 512, d_k: 32, result: 0.09974392591535816
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 512, d_k: 64, result: 0.09999840944907214
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 512, d_k: 128, result: 0.09909266967917137
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 1024, d_k: 16, result: 0.09815279739794511
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 1024, d_k: 32, result: 0.09923616173030184
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 1024, d_k: 64, result: 0.09980304627317538
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 1024, d_k: 128, result: 0.09829740272827861
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 2048, d_k: 16, result: 0.12046175447637981
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 2048, d_k: 32, result: 0.11937584152674992
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 2048, d_k: 64, result: 0.1194033408549917
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 2048, d_k: 128, result: 0.12085347587203599
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 4096, d_k: 16, result: 0.3393864279426654
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 4096, d_k: 32, result: 0.33880208606866513
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 4096, d_k: 64, result: 0.3400215830801092
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 4096, d_k: 128, result: 0.34108068727056323
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 8192, d_k: 16, result: 1.2668046829104012
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 8192, d_k: 32, result: 1.2656371823483301
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 8192, d_k: 64, result: 1.2658415746605378
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 8192, d_k: 128, result: 1.2719296407777467
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 16384, d_k: 16, result: 4.084845328837845
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 16384, d_k: 32, result: 4.089826468880295
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 16384, d_k: 64, result: 4.096708550289859
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 16384, d_k: 128, result: 4.116000236783709
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 32768, d_k: 16, result: 15.785127109951443
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 32768, d_k: 32, result: 15.80188179470966
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 32768, d_k: 64, result: 15.807795859671927
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 32768, d_k: 128, result: 15.856686551034736
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 65536, d_k: 16, result: 63.87026243943434
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 65536, d_k: 32, result: 63.95642865009797
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 65536, d_k: 64, result: 64.2075675226027
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float16, seq_len: 65536, d_k: 128, result: 64.52855305857473
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 128, d_k: 16, result: 0.09811830196923907
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 128, d_k: 32, result: 0.09877125874755333
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 128, d_k: 64, result: 0.09790498113396663
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 128, d_k: 128, result: 0.10110501594466911
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 256, d_k: 16, result: 0.10147533311857594
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 256, d_k: 32, result: 0.1026865416755721
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 256, d_k: 64, result: 0.10388480488471019
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 256, d_k: 128, result: 0.10253051346608864
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 512, d_k: 16, result: 0.10295700938068904
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 512, d_k: 32, result: 0.10128225288408772
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 512, d_k: 64, result: 0.10215564802123407
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 512, d_k: 128, result: 0.103863675566271
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 1024, d_k: 16, result: 0.10199448003169904
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 1024, d_k: 32, result: 0.10198594299804563
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 1024, d_k: 64, result: 0.10151724241941934
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 1024, d_k: 128, result: 0.10355087349262668
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 2048, d_k: 16, result: 0.160020684472117
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 2048, d_k: 32, result: 0.1614757187820509
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 2048, d_k: 64, result: 0.1767591599224036
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 2048, d_k: 128, result: 0.19276559346961758
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 4096, d_k: 16, result: 0.49401735296285193
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 4096, d_k: 32, result: 0.5072672706007041
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 4096, d_k: 64, result: 0.5469704843941753
kernel: <bound method Function.apply of <class 'native_attention.flashattnTorch'>>, acc: torch.float32, seq_len: 4096, d_k: 128, result: 0.6386522922366846
